Gene	Length
RP11-98D18.3	382
RP11-401P9.5	5275
RP1-12G14.7	340
RP11-358M11.4	521
CT47A3	1298
TMEM78	2175
KCNQ1OT1	91667
STX18-AS1	6107
RP11-380M21.2	225
LINC00641	5715
RP4-734C18.1	1433
SYNM	7819
HNRNPA2B1	7541
ACRV1	2212
ASB8	4087
TNFRSF10C	2625
RP3-510O8.3	628
CXorf56	2580
RP11-510M2.6	440
RP11-872J21.3	1512
CTC-425O23.2	1462
RP5-1068B5.5	478
RPL7P20	745
RP11-81K13.1	3188
MIR7112	65
RP11-541N10.3	2388
NFIX	6302
RPL5P10	894
RP11-107E5.3	2614
RP11-157B13.7	2094
RP11-119H12.1	435
BAG1	7110
TJAP1	6741
RP11-813F20.2	340
RP11-521I2.3	1142
FAM149B1	7473
RP4-781K5.2	693
RETN	520
RP11-612J15.3	326
AC092958.1	90
SEMA4B	7006
DEAR	372
CMSS1	4081
RP1-265C24.5	924
NXPH2	1052
GAPDHP1	1005
AC002331.1	294
AC096753.1	112
RP11-85A1.3	864
RNU6-445P	107
OR7E47P	449
RP11-67H2.1	1584
TMEM170B	8362
RPL7P12	750
OR10H2	1041
RPL17	2515
FAM90A23P	1395
MORF4L1P1	967
RP11-33M22.2	557
RP11-13N12.2	458
CTD-2085J24.3	435
RP11-98C8.1	163
TCEB1P6	328
CTD-2323K18.2	271
CNTNAP3	9521
RP11-44N21.2	175
ENKD1	2679
RP1-102G20.4	334
RP11-22D3.2	1235
L34079.2	393
RP11-158L12.5	585
RP1-166H4.2	1513
PGBD4P4	613
RN7SKP56	331
DPYSL5	7079
MIR7110	86
RP1-228H13.2	418
RP11-481A20.4	382
RNU6ATAC33P	126
AC007390.4	356
RN7SKP275	301
RP11-254F7.2	1572
RP11-612B6.2	172
CTD-2128F4.1	403
RP11-556G22.2	948
GABPA	5429
CBX3P8	525
AL049871.1	98
IGLV2-18	374
RP11-351J23.2	4569
RNU6-1109P	107
FAM90A7P	1395
CLDN19	3602
RP1-150O5.3	456
RP4-631H13.2	380
CRLF2	2010
FLJ26245	1989
CTB-54I1.1	416
LCE1C	692
AC025165.8	2600
NANOGP7	918
AC092066.6	317
NFYB	4956
AL139187.1	53
LINC00504	5095
OR8J2	948
RP11-271F18.1	335
RP3-399L15.3	8063
TREML3P	978
FAM92A1P1	890
CTD-2089N3.1	569
AC002401.1	468
MIR6769B	62
RP11-326A19.2	310
RP11-445N20.2	629
TRBV6-8	341
PCDHGB5	4851
AC093157.1	78
MYO5BP3	1279
LINC00901	1452
PARP8	10056
MRGPRF	2746
LINC00485	3722
USP17L29	1593
LPCAT4	4799
AP001062.8	846
NTM-IT	373
AC064871.3	597
GS1-421I3.5	698
AC010880.1	477
RNU6-1312P	108
RP11-554F20.1	1544
TRBV23OR9-2	335
DACT3	5361
HEPACAM2	2483
MIR548F2	98
ALKBH3	2372
FAM26F	1194
RP11-781P14.3	180
JUP	4942
PCDH9-AS3	479
UAP1	3437
AP5B1	4811
CTC-235G5.1	390
DCTPP1	1581
M6PR	3777
IGHV3OR16-11	349
AC080002.1	217
ALG1L10P	424
KB-1582A10.1	307
LMLN-AS1	542
POLA2	5726
CCDC90B	6561
AC019055.1	443
GOPC	5011
RP11-59N23.3	578
RP11-443B7.2	423
RP11-977G19.12	437
TRPM3	19912
RNU6-47P	107
CDKN1A	3050
FAM196A	4407
KCNJ3	5067
HSFY4P	1181
SMEK2	8217
RPL7AP65	748
AC004461.4	403
NEFH	3783
CTD-2639E6.4	274
MRPS18C	4866
LLPH	7993
AC004538.3	5660
COPS7A	3113
AL160291.1	84
AL121893.1	77
RP11-981G7.6	2860
RP11-285G1.15	1219
SNX24	3550
ACAD9	4327
NDUFS8	4523
ALAS2	2134
RP11-331D5.2	1543
RP11-703I16.2	364
RP11-805L22.3	505
RN7SL568P	298
RNA5SP407	110
AC090505.5	1834
CASK-AS1	515
RN7SL509P	297
TBC1D19	3434
AC106795.1	93
SCGB2A2	1508
ARHGEF28	15617
RP11-492C2.1	292
RP11-461O7.1	4021
RPL3	4787
POM121L14P	1558
MZB1	2273
RNU6-724P	105
RP11-466P24.6	756
RNU6-751P	101
SNORD59	68
SLC2A4	4046
SYT3	3832
RP11-326E7.1	418
SAMD8	7316
OR51L1	948
ATP13A1	8376
RP11-61N20.3	959
MIR548M	86
RP11-326K13.2	586
RNU6-811P	107
RP11-593P24.2	1124
CASC2	10032
KIAA1211	6323
RNA5SP22	109
PRMT7	9458
EIF5AP4	465
LINC00294	3306
ANXA2P2	1020
SNX25P1	834
RP11-100G15.12	1027
MT-TV	69
RP1-288L1.5	768
RNU7-6P	62
RPP25	3049
LINC01285	2527
RNU6-143P	93
MKLN1-AS	2715
RP11-323A7.1	1104
CDK5RAP2	10080
IGKV1OR2-2	355
RNU6-1308P	103
DGCR12	803
RP11-115J16.1	5060
GLRXP3	321
EIF4A2P5	499
TRMT1L	4945
LINC00390	340
C10orf111	1714
RP11-520H14.7	2249
AC125238.3	249
AC108205.1	146
RP11-368I23.4	430
RP11-400N13.2	1366
TMEM216	2364
RP13-317D12.3	664
CTD-2547E10.3	255
OR52M1	954
PGBD4P3	581
RP11-123C5.5	479
PP12613	2230
HDAC1P2	2006
RP6-191P20.4	2090
RP11-1259L22.1	666
RPS11P5	484
LDHBP1	1119
RP11-206P5.2	1679
RP11-486M23.3	1426
AC007161.5	1496
FUBP3	5507
RP11-77P16.4	1974
RP11-101E3.5	378
AC092106.2	373
MAL	1457
CTD-3179P9.2	1223
RP11-139H15.5	498
DUT	3674
DRG2	7411
RP11-342L8.2	367
PLXNA4	16372
RAC1P8	527
CCDC83	2359
RP11-963H1.1	1540
SLC25A46	8283
HIGD1AP12	281
MCOLN3	6623
RP5-1065J22.2	283
INCENP	4473
RP11-463J17.1	592
MIR6130	109
RNU6-199P	107
PDLIM5	11090
TMEM189-UBE2V1	2757
RP11-165D6.1	266
OTUD4P1	3067
NLRC4	3624
IGKV4-1	538
CNKSR1	4043
CHST2	4582
AC018755.17	1182
RP11-3G20.2	339
RP11-713P17.3	4032
RP11-180M15.7	549
AC011322.1	1189
ZNF506	8414
EFHB	4163
MIR3910-1	111
MIR8089	82
ZNF517	5308
FKBP4	5180
RPL7P6	738
MIR4674	87
KLRB1	1448
RP3-330M21.5	980
KBTBD6	5178
LINC01587	1164
RAF1	7847
RNU6-527P	104
LINC00639	4860
RP11-419M24.4	253
CDNF	1733
AL136985.1	87
RNU6-624P	107
C8orf59	2514
RPL3P11	1146
KCNRG	1625
KCNJ14	4340
RP11-196I18.2	171
TICAM1	2676
MIR3170	77
MTRR	6498
AC097473.1	63
TTC21A	7677
GLYR1	5470
CTD-2066L21.1	599
AP001505.10	443
HSD3B2	2336
HES2	5407
OR10AG1	906
AC009961.3	2724
AC069286.1	83
AGPAT4-IT1	1878
RP11-567I13.1	594
OR8B6P	880
RP11-18B3.3	492
SNORA32	121
SLC6A10P	4479
HLA-DQB3	356
EBLN1	1208
LINC01520	1487
FNBP1	6600
RP1-290I10.7	860
MIR4312	76
RN7SL362P	267
CH507-152C13.6	1052
RPL21P38	167
SNORA20	132
AC009411.2	539
CAPN12	5966
RNY4P20	93
CTD-2021A8.2	739
RPS20P33	354
PGGT1BP2	1028
AAR2	3101
AP002954.6	465
MFI2-AS1	1139
ZFX	9037
MINOS1P3	203
RP11-474P2.2	627
RNU6-66P	104
RP1-293L8.2	2963
AL359253.1	97
MBD3L4	775
SRPRB	4180
AL354928.1	100
RP11-499F3.2	767
NDUFA5P1	341
AC069294.1	116
AC002480.3	2432
DHX30	7744
HIPK1-AS1	3087
RP11-248N22.1	1144
GAPDHP27	1020
RNFT1P2	757
MIR181A2	110
LILRB1	5552
SLC6A5	7114
ADCY8	5961
RP11-242C24.3	271
ACTN4	6098
LL22NC03-121E8.3	668
RP11-449M6.3	233
GPC6-AS2	587
FGD2	10167
RP11-312A15.1	471
RP11-779O18.4	163
RP11-172C16.5	508
RP11-171I2.1	3590
RP11-47G4.1	1018
RP11-84O12.3	321
RP5-857K21.4	1854
RP11-450I1.4	1371
CTD-2192J16.15	645
RP11-34H11.6	217
AC012358.4	1434
EHMT1-IT1	1749
CHRM3	12170
SLC5A4P1	612
RP11-509E10.3	1768
OTUD6B-AS1	6009
TBC1D8	6030
TRAF2	3663
RP11-276H1.3	1974
CKMT2-AS1	3884
RNU6-940P	104
ZNF284	4351
ANTXRLP1	1829
RP11-417L19.4	426
KRT18P62	1287
IGKV1OR2-11	287
CTD-2342N23.1	2468
CTC-338M12.5	486
AC011591.1	87
RP11-69E9.1	480
NEK10	9582
CMB9-22P13.1	1480
PEBP1	1780
ZNF541	4655
PPIAP14	496
AC003075.4	1607
CCDC169	8837
MAMDC2	3854
MIR6513	64
EPHX2	4473
U2	113
PRR19	2575
TMEM180	3526
RP11-167B3.2	551
MMACHC	5296
COA7	4165
MANSC4	1023
RP11-134K1.3	486
SPIRE2	7975
RP3-471M13.2	658
KF459411.1	89
CTD-2589M5.4	354
CTD-2127O16.2	163
RP11-350O14.18	460
FASTKD3	2857
AC007040.2	77
C4orf36	5270
CHMP1AP1	662
TPM3P3	354
STX18	5332
SH3D21	4474
H2AFY	17730
RNU6-1236P	99
ZNF774	8511
CASC20	1484
RP6-109B7.2	1181
RP11-88I21.1	601
AC018463.5	492
RP1-48J14.1	232
RN7SL505P	293
TFG	4994
RNU6-792P	107
RP11-386G11.3	279
NAP1L2	2550
RP11-557H15.4	1404
SLC1A7	5407
RP11-498C9.12	563
IL1RAPL1	3668
RP11-845C23.2	1101
AC012512.1	718
IGHV3-73	437
RP11-7F17.8	3487
AF196972.9	653
AC073072.5	1364
MT-CO3	784
CSTF1	4800
TGFB1I1	5403
AC100800.2	101
ABI3BP	10978
RNU6ATAC19P	110
RPL7P36	681
HYDIN	23408
RP11-234K24.6	447
RP11-77K12.4	573
AL954742.1	85
IL1RN	3256
HDDC3	2606
RNU1-114P	166
HECTD4	21572
AC064837.1	188
TAS2R2P	910
YBX1P10	975
RNU6-1218P	108
CNTFR-AS1	1182
EEF1E1P1	430
RP11-746M1.8	145
MIR584	111
WDR36	7656
NTN3	1986
JHDM1D-AS1	2380
DNAJA1P4	1166
AC073427.1	85
AC006925.1	91
CHRNG	2615
RP11-321E2.5	595
NPM1P9	844
LINC00948	2941
KIAA0226L	6105
CCDC173	2236
OR4N2	1499
MIR4527	70
BRMS1	2514
RP11-629N8.5	360
RNU6-1046P	107
RP11-366F6.2	1589
AL390876.1	84
CTB-43E15.2	513
RP11-561N12.8	535
RP11-540E16.2	401
CDK12	12773
NAPRT	3079
AC099668.5	423
RP13-650J16.1	709
AC012354.6	2685
RP11-265D17.2	500
EPDR1	2864
CLCP1	388
RP11-345I18.4	721
RP11-6N17.3	335
AC073264.10	416
RP11-565A3.2	1266
PARP14	10495
TRIM33	9574
SMIM20	1612
RNU6-682P	106
ARMCX1	2141
PRKAR1B	4491
AC090514.1	85
MBNL1	9989
RP11-75D3.1	138
RNA5SP131	119
RP11-24M17.4	2489
TRIM10	3546
OR4N3P	925
RP11-366M4.12	523
MANBAL	2045
AC093875.1	84
ZSCAN16-AS1	2163
FAM90A12P	2375
FAM72A	3783
OR5BP1P	546
LINC00654	6294
RNU6-380P	107
RP11-50D9.1	481
JADE1	9129
AC009196.1	88
MIR5693	73
LINC01028	1163
OSBPL2	11735
MOXD1	5293
VAT1	3501
CSF3R	8429
INHBA	7532
RP11-440J4.2	1014
ALLC	2542
RP3-336K20__B.2	457
TCEB3-AS1	1347
AKR7A3	1710
SLC22A31	2610
HSPBP1	2159
RP11-544A12.5	559
OR4A2P	913
WFDC12	775
RP11-331K21.1	738
RPL31P41	372
ATP5F1P1	569
LYRM2	8679
RP11-855C21.1	501
RP11-669M2.2	407
RP11-344B2.2	772
RP11-654C22.1	166
SNORD11B	90
C3orf80	2578
RP11-149I23.3	1012
KB-1299A7.1	501
ADCY6	8410
MECR	3922
AF106564.1	86
HIRA	4299
GLIS2	4469
CGGBP1	6490
RP4-675G8.2	320
RP5-1022P6.4	358
AC104024.1	2201
FGB	2708
CTA-363E19.2	742
AMY2A	1898
RP13-228J13.9	335
CTD-2366F13.2	453
MIR122	109
MIR4469	79
CTD-2540F13.2	1580
CT45A3	1166
HBZP1	429
RP11-857B24.1	693
CCDC115	3782
RP11-167P22.5	1300
HHLA3	1222
CTD-2037K23.1	412
AC007461.2	2063
RP11-327J17.9	981
KRT16	2475
PTCH2	5149
RP11-1391J7.1	2061
LRRC2-AS1	2297
RP11-177H13.2	4798
RP1-127B20.4	925
CTD-2012I17.1	489
SCG3	3315
FTSJ2	2843
TUBG1	2411
MAML1	10690
CTD-2349P21.7	200
RP11-771K4.1	868
CCDC94	1671
RP3-406A7.7	374
FNTA	9551
RP11-1079K10.5	1754
U2SURP	11118
EEF1A1P3	1385
RP11-164O23.7	945
DIRC1	1037
RP11-408N14.1	443
LIMK1	6902
RP5-837I24.6	343
RP11-574O16.1	585
RP11-438E8.2	673
DCUN1D3	6248
CH17-80A12.1	1263
KB-1254G8.1	770
RP11-474D1.4	577
ITGB7	4481
Z69720.3	279
PSORS1C2	1150
RP11-893F2.15	578
RP11-195C7.2	631
RP11-445O16.3	644
GGT8P	532
RP11-256L6.2	656
RPS12P24	387
XXbac-B33L19.10	758
RN7SL645P	269
CD27-AS1	3411
SNORA17	133
POLR2F	7042
B3GALT6	2777
ZNF613	3889
CHKB	3021
RP11-148L24.1	1659
CCL15-CCL14	1047
IL24	1979
FAM170B	1401
RP11-655B23.1	647
PRRX2-AS1	429
RNU7-194P	63
AC007292.7	279
MIR4795	89
RP4-612B15.2	555
NTNG2	7845
RP11-93O17.1	680
OSCP1	2788
AL627171.2	80
AC007389.1	793
TRIM23	4807
NBEA	11949
AKR1B15	3325
RNA5SP450	102
AC117945.1	101
NAALADL2-AS3	422
ELP6	3313
RP11-420A21.1	482
MRPL38	3663
AE000658.22	472
PPWD1	3777
RP11-542A14.2	214
LINC01569	2270
FAIM2	6057
RP11-394O4.5	2549
RPL9P31	578
AL589947.1	127
CCSER2	8424
BTF3L4P2	346
RP11-179B2.2	1637
RP11-726G23.11	220
AL162151.4	561
KB-1410C5.4	154
RSL24D1P4	484
RP11-520P18.5	988
RHOBTB2	6580
TMEM158	1813
TXNDC2	3392
RP11-411B10.3	517
BCL9	6420
HSF5	4094
DMBT1P1	4155
AC007557.1	393
CCDC147-AS1	795
RP11-54H7.4	4205
AC020915.2	964
ETF1	4601
CRABP2	1100
POP4	6574
AGAP11	3078
AC003989.4	565
RNU6-537P	103
RP5-1039K5.16	1055
TMEM115	2197
AC011309.1	133
SNORD18	70
AC002072.1	90
ZFP91-CNTF	2417
NXNP1	1051
RP11-302M6.4	654
RP11-693J15.3	865
RP11-677M24.1	301
BMP5	3952
RP11-235C23.6	1621
AL138696.1	90
RP11-439K3.1	444
RNU6-414P	104
RPL21P66	466
ATPAF1	5677
SYMPK	10628
RP11-254I22.1	704
KIAA1755	8083
RP11-56O18.1	187
EXOC3-AS1	1663
HMGB3P20	600
RNU6-1107P	104
RP11-350G8.4	317
FFAR1	2311
AC096971.1	133
RP11-78O7.2	698
FCHO2	6127
RP11-67A1.2	549
C1QTNF2	2414
CDC45	2846
RPL15P2	615
MIR4687	80
PCCA-AS1	843
CTD-2555O16.1	572
SLC6A20	6651
FAM208B	10960
RP11-676J12.8	486
RN7SL37P	307
RP11-272L14.2	668
AC079776.6	504
TYRL	441
FAM122C	5894
CGB8	882
RP11-53O19.2	591
WDR43	4130
CCNI	3741
ZFP41	2897
MTHFD2P6	1022
RNU1-120P	157
STC2	6128
CTD-2184D3.5	635
MIR6872	62
SEC63P1	1258
AL353602.1	101
TMEM173	3850
TMC7	5638
AL732375.3	84
COQ7	4120
RP11-150O12.4	551
RP11-644F5.11	1443
MBL1P	2616
MIR4508	70
AC007969.5	447
OR4F1P	938
SLC31A1	5127
KIAA1549L	12318
RNU7-103P	60
CTA-280A3.1	841
CTA-250D10.19	515
BNIP1	2440
RP11-56A10.1	1014
ITLN1	1483
RASSF3	3705
SPA17P1	452
PGAP2	3781
OR4F4	1054
TIPARP	5048
TMEM263	4768
TNFSF4	3942
RNU6-309P	106
UBA52P9	359
RP11-87H9.4	1903
HYALP1	1279
SNORA4	138
ADSL	5632
SENP8	5007
RP11-3P17.4	2845
HIF1AN	13950
TMEM234	3571
RP11-107P7.1	364
ARHGAP6	7885
RP3-466I7.1	494
SDCBP2-AS1	4058
GAGE12H	527
TMEM236	5464
RP11-504P24.8	2052
DNAJB11	5959
AKT3-IT1	517
PCDHB9	4415
RNA5SP406	112
TMBIM7P	1287
RP1-136B1.1	701
RN7SL4P	295
C5orf42	15146
DDX6P1	1436
RP1-163G9.2	469
PSMC2	3538
RP11-712L6.5	629
AC138783.10	786
RP11-305L7.5	461
RP11-187C18.5	371
RP11-517B11.7	3473
ICE2P2	2787
TP73-AS1	161
CTSLP7	394
NUDCD3	10113
RP11-66D17.5	433
MIR583	75
ZBTB45P2	1531
RP11-797D24.4	391
RP3-380B8.4	411
TPX2	3605
RP11-327I22.5	1484
RP11-87C12.5	1143
SNORA22	138
RP1-131F15.2	2433
CYCSP29	318
BNIP3P8	560
BTBD10	3495
CNOT8	3930
LAMC2	6543
HNRNPA1P66	934
RP11-489E7.4	710
HIST1H3B	411
LINC00482	2197
ZNF354B	3750
CXCR5	4431
CNOT11	2786
RP11-1275H24.1	2651
AC068286.1	467
OR6C2	939
RNF144A	6473
FAR1	7501
TTTY2B	3168
ZNF76	6789
SPHK2	6009
HSP90AB6P	1980
CT867977.1	73
CTNNBIP1	3339
TLR2	4200
CLCN3	8123
HAMP	3010
RNU6-402P	103
CLCA2	4496
FAM122B	4404
RP11-43F13.4	1585
LAT	4430
CTD-2196E14.6	1024
ZNF267	6333
RP11-342C20.2	666
MIR6771	60
ARAFP3	490
BIN2	4010
LYPLA2P3	576
RP11-381K20.2	1675
ANKRD18DP	3449
FLJ35934	1871
MIR3118-1	76
XIST_intron	68
MKNK1	8070
RP11-321E2.4	886
RPL7P26	754
KB-1589B1.4	233
HIST1H3E	411
RP11-385M4.2	362
LINC01309	492
FAM74A6	1802
RP5-893G23.1	551
AC010967.2	489
INO80E	6076
HES5	1306
PNPT1	5134
IGHD3-10	31
LINC01103	1457
ATP8A1	11199
FPGT-TNNI3K	9358
GGCT	1597
ANKRD30A	5015
RPL5P7	813
RP11-367J11.3	3763
RNU6-509P	107
RP11-818O24.2	186
AC072031.1	85
RP11-383C6.2	344
RP11-810K23.10	598
L34079.4	546
DLG2	16089
XRCC1	3459
AC012506.4	751
RP11-95F22.1	654
ATOH7	1480
AC108056.1	576
OR2W6P	939
CYP4F8	7048
RP1-130H16.18	2057
BTF3P14	476
SNORA62	152
FAM195DP	209
AC013404.1	249
PMPCAP1	1576
LRP5	6164
TUBGCP5	6478
ZRSR1	1673
XXbac-BPGBPG55C20.2	5352
AC117422.1	84
SAPCD1	1557
CENPVP1	1341
FTLP13	385
MIR509-3	75
RP11-542G1.3	1143
RP1-106C24.1	718
ESF1	3216
RP11-715J22.4	879
AL590431.1	79
USP17L26	1680
RP11-640N20.8	299
HNF1A-AS1	3859
KRTAP3-3	704
AF064860.5	544
AKIP1	2300
SSU72P3	582
SEC22B	573
PES1P1	1736
CXCL2	1500
RP11-179A9.3	482
MAK16	4846
RP11-407P15.1	2028
RPP25L	1092
HIPK4	2452
SHISA3	1971
RP11-349N19.2	400
RP11-393B14.2	351
CTD-2049O17.1	300
AC008154.5	327
RP11-296L22.8	631
RNU6-892P	99
MIR3691	90
MLIP-IT1	643
NT5DC3	8722
HMGB1P39	880
CD69	2832
RPL7P13	741
RP4-777O23.1	427
SYNPO2L	5147
RP11-462L8.1	1193
LY6K	4049
CTD-2025J6.1	118
RP11-822E23.2	965
HSP90B3P	1567
AC091167.2	84
DEFB105A	330
MAD2L1BP	1880
CHEK2P4	246
RP11-436D10.3	688
RNU6-1006P	103
ZNF425	3687
SDCBPP2	885
CBX3P1	554
MRPS2	2464
EEF1GP7	703
RP11-519C12.1	540
OR7A18P	277
CEACAM8	2615
RP11-281P11.1	567
HMBOX1-IT1	347
FOXO1	5811
ZNF445	10821
AL627171.3	70
KRTAP9-6	1303
RPS15AP10	382
CRTC2	3612
RAB43P1	589
EIF1AY	4074
RP11-561I11.3	766
OR7E15P	967
AL354978.1	92
RP11-118D22.3	1060
RP11-354K4.1	2285
RP11-847H18.3	794
MGAT4A	9630
BMPR1APS2	1012
RP11-567B20.2	728
CTD-2517O10.6	1565
RP11-333E1.1	2190
MIR7-1	110
TMEM206	2914
ATL1	4360
RPL7AP60	794
PRR23C	2791
AC017002.4	792
CTD-2396E7.10	520
SIRPA	5068
SLCO5A1	9992
RP11-60C6.8	697
RPUSD2	2482
RP11-347H15.4	724
RP11-426L16.3	449
RP11-1263C18.1	533
RP11-499A10.3	543
AC004915.1	68
GCSAML	4680
RN7SL594P	287
ZNF558	8184
NUSAP1	2875
SPARCL1	3477
NUDT8	1475
RPL39P40	146
RNU6-293P	106
RP13-895J2.4	1645
RP11-450H5.3	153
RP11-506H20.1	770
RP11-613G13.1	1620
RP11-15J23.1	426
RP4-594A5.1	916
CD74	3184
RP11-439A17.10	459
GKAP1	3381
MIR1233-1	82
AC055733.1	375
CSF2	787
LA16c-385E7.1	682
AL392111.1	101
AC012501.3	1281
NANOGNBP3	565
CTA-243E7.3	2059
GPR180	8822
RP11-458K10.3	763
RP11-616M22.3	338
LINC01217	562
RP11-143M1.3	772
ALDH1A1	2849
IFNA17	1307
AC144652.1	1624
RP11-762H8.1	449
RNA5SP432	116
RP11-91I8.1	508
PHBP13	760
RP11-141B14.1	1548
ADAM29	5957
SERINC2	3549
RP11-573D15.8	11099
SNORD114-19	75
SNORA15	94
AC131951.1	106
RP11-44F21.3	3341
STOM	3198
SYNE3	18164
AC005754.8	2086
RP11-359P18.5	336
RP1-267D11.6	2094
RP11-165A20.3	273
OR52B2	1079
TMEM63B	4425
RP11-19P22.10	104
DCTN5	12740
MTND6P1	424
RP3-425C14.7	314
GNB2L1	5990
CRISP3	2247
TMEM159	2558
SCPEP1	3853
DPYS	3818
SPINK6	733
RP3-437C15.2	568
ROR1-AS1	3544
RP11-681L8.1	770
RP11-13K12.6	1099
RP1-72E17.2	153
AC006483.1	84
RP11-128P17.2	810
RN7SL815P	290
TRPC5	5839
TRAV18	440
RP1-18D14.7	4036
IMPDH1P10	1542
RP3-333A15.1	749
HMGN1P18	277
CTB-164L20.1	636
MIR1234	80
PEAR1	5530
AC012501.2	984
RP11-893F2.5	839
STOX2	10952
TLX2	2775
RP11-314N13.3	480
SLC2A13	10027
RP11-521D12.4	166
TUBBP11	252
ZNF316	5811
RP11-1057B8.1	453
LINC00472	3443
RP11-459K23.2	527
GS1-388B5.1	149
AC006126.4	460
AC006539.2	501
AC021205.2	78
RP11-586K12.13	420
RP11-289K10.1	437
COPS8	4743
ZKSCAN7	4048
AC006452.1	63
RP11-196G18.1	410
ZBED1P1	1930
RP11-76P2.4	421
UBTFL5	1191
CCHCR1	5086
CTD-2582D11.1	419
RP5-837J1.4	544
ALG13	7925
LL22NC03-75A1.9	358
RP11-34P13.16	284
UBTFL1	1182
RP11-615J4.3	411
RPL26L1	1164
DLEU2_1	120
CARF	8636
RP11-439A17.9	3543
RP11-744K17.7	217
RP11-403A21.1	1061
CTD-2187J20.1	509
VN2R11P	676
ARHGAP19-SLIT1	4089
MTND1P19	315
CD244	2857
RP11-386G21.1	813
RNA5SP42	115
RPL7P16	738
RP4-591B8.2	427
MRPS31P1	196
AC087499.4	178
MIR339	111
CTB-89H12.4	8636
RPS20P22	1318
FDPSP3	1013
RANBP20P	2104
RP11-1113C11.2	535
OPN1LW	1261
AL121932.1	84
FMOD	3310
MIR4499	69
SAA1	765
AK4	7578
SNHG17	4186
ZNF655	8401
ELOVL2	3997
RPL5P13	709
RP4-633I8.4	353
SLC15A3	6119
CTD-2008A1.3	526
RN7SL401P	298
AC023137.2	308
CLIP4	7775
RP11-183E9.2	947
RP11-192C21.1	631
RP11-848P1.9	2147
STAC3	2096
OR9G1	918
RP11-391J13.1	2199
C2orf88	5997
AC004386.3	148
RHOA	2582
RP11-68I3.11	1052
AC091697.1	98
AC105921.5	1491
CTA-929C8.8	571
MYL6	4609
RPIAP1	742
RAB6B	6005
RP11-118F19.1	601
FOXE3	1981
HECTD3	5077
LPPR4	5540
OR5H4P	923
OR8G7P	848
LINC01307	1238
DDN	3749
METTL5	2865
RP11-329N22.1	790
HNRNPA3P7	982
DAZ2	4164
RP11-267N12.1	2633
RP11-475O6.1	5425
SPCS2P1	679
DOCK3	8755
AC243654.1	99
RP11-160A9.2	460
PWWP2AP1	2273
OFD1P8Y	1433
ATAD5	7075
GUCA1B	1113
RP11-91H12.4	568
LINC00583	387
HMGN1P5	263
TOR1B	2911
KRT40	2225
RP11-217B1.2	1109
RPL29P32	472
KIF2A	4774
PTPN2	6921
RP11-333B6.1	479
AC005609.19	592
TMEM184B	5014
NDUFA5P2	344
NMD3P2	761
RP11-203B7.1	522
LINC01124	2117
RNU4-80P	141
GRAMD4P7	1232
MSANTD1	7553
CTD-2201E18.3	2784
ATP6V1G1P7	349
RP11-24I21.1	2520
RP11-554D14.4	949
AC006116.27	756
SEMA4G	5253
AC106876.2	813
RPL35AP33	334
OR2A12	1046
OR5K2	1060
RP3-355L5.4	1198
AC108066.1	596
CTD-2240J17.4	545
ORMDL1	3958
TRBV21-1	348
RP11-157L3.12	1123
AC016819.1	104
IGHV1-67	357
CA5AP1	576
TAF13P2	286
SPA17	5205
AC008169.1	106
DOCK8	13784
ZIC2	3310
EVX1-AS	1361
AC053503.12	1843
AC096554.1	529
CBFA2T3	5972
RP11-154P18.2	635
RP11-284P20.3	436
XXbac-BPG294E21.9	779
RABGGTA	3545
GAPDHP49	961
RP11-25K19.1	1743
MTND6P21	482
RP3-431P23.2	1486
RP11-498P14.4	281
RP11-489E7.1	550
RP4-667H12.4	857
GDNF-AS1	4636
RP11-438C19.1	584
AC135178.7	537
MOB1B	8801
PLCB1	15755
AC009084.1	85
WDFY4	13688
RP11-137N23.1	499
MIR6068	60
TAGLN2P1	587
CYP2AB1P	1831
RP11-805F19.1	525
RP11-475O23.2	350
RP11-258F1.1	2279
SCAMP5	4873
CTGF	2339
FAM135B	13625
RP11-536C10.14	513
TMEM70	2982
RP11-42F12.1	3634
RNU6-1178P	107
HPSE	4721
CCDC134	1270
GMDS	4304
CTA-363E6.5	665
OR51A10P	937
GAPDHP31	1014
RPL12P41	498
AC069282.6	526
RP11-691N7.6	580
USP32	7755
OR52V1P	898
RP11-7F18.1	558
RP4-663N10.2	794
RP11-321E2.12	169
PLA2G2F	6440
IGHV3-30-2	345
RP11-10H3.1	922
RP11-616M22.7	320
RP13-36G14.4	905
FAHD2CP	2140
RNA5SP355	135
FBXO2	2333
RN7SL546P	290
AL355977.1	102
RP11-229P13.23	748
AP002856.4	635
ST7-AS1	1889
RP11-480D4.2	695
ZNF890P	1737
RP11-159K7.1	533
MIR130B	82
CTB-43P18.1	664
RNU6-664P	107
RP11-610J23.1	448
RP5-1136G13.1	323
RP11-1060J15.5	569
CTD-2301A4.3	476
TMBIM4	4137
AC007126.1	4781
RP11-306B9.1	3008
RNA5SP387	106
RP11-631M6.2	744
AC013410.2	201
AC084809.3	512
TAS2R7	1096
CSTF2	2187
HMGN2P31	273
RN7SKP64	328
RGS1	4117
ETF1P1	984
VWA2	3301
AC009166.7	2833
GTPBP3	4532
BEND3P2	2254
BIN1	6929
TOMM22P5	439
RP11-443F16.1	367
RP11-364L4.3	624
RP11-411H5.1	478
XXbac-BPG13B8.10	877
AC022819.1	132
ARHGEF26-AS1	6580
RNA5SP251	137
